Principal Components,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Autocorr_LNE
PC1,0.11835223252031556,-0.13463195672799105,-0.40170490930021546,0.5873578573785537,0.557300141026077,0.38849382403989957
PC2,0.4381554475805471,0.4814249847720612,0.4444291343301844,0.15141389557459428,-0.20617035998621025,0.5597322102946348
PC3,-0.7271120595042136,0.6554236750604796,-0.14182563122104283,0.07721292133529695,0.04885993854717121,0.11517039813487186
PC4,0.5147467890788072,0.5411930266905478,-0.5078300213754471,-0.15472484276962875,0.09036192068562902,-0.39006341369617487
PC5,0.018773590227338266,0.16259292630172842,0.598408560059353,0.07743290059336243,0.6672438167108228,-0.4048556814979641
PC6,-0.0019751403805550296,0.034607435807831245,0.07083265750264203,0.7721315388695644,-0.43719955881932926,-0.45436834318589964
